market id,market symbol,market name,trade quantity,trade price,date/time [utc]
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,10.0,Mar/06/2005 00:03:29
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,10.0,Mar/06/2005 02:44:07
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,11.8,Mar/06/2005 20:38:08
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,11.8,Mar/07/2005 17:01:13
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,11.8,Mar/07/2005 17:01:13
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.5,Mar/07/2005 17:01:13
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,12.0,Mar/07/2005 17:02:04
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,12.7,Mar/08/2005 20:26:13
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.4,Mar/08/2005 20:26:13
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,5,13.9,Mar/08/2005 20:44:58
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,50,13.8,Mar/09/2005 00:45:05
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,13.7,Mar/09/2005 00:45:05
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,18,13.9,Mar/09/2005 00:45:05
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,65,13.0,Mar/09/2005 14:00:01
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,10.2,Mar/10/2005 03:34:07
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,6,10.2,Mar/10/2005 03:34:07
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,10.0,Mar/10/2005 03:34:07
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,8,10.1,Mar/10/2005 03:34:07
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,50,13.8,Mar/10/2005 23:03:57
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,13.8,Mar/11/2005 01:39:57
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,13.9,Mar/12/2005 16:43:04
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,13.9,Mar/12/2005 16:43:04
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,14.0,Mar/12/2005 18:24:11
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,13.6,Mar/13/2005 02:35:04
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,14.0,Mar/13/2005 14:25:37
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,14.0,Mar/13/2005 14:25:37
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,20,14.0,Mar/13/2005 14:25:37
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,14.0,Mar/13/2005 14:57:22
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,13.5,Mar/13/2005 15:52:49
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,12.5,Mar/13/2005 21:47:22
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,12.6,Mar/14/2005 01:06:39
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,57,12.0,Mar/14/2005 01:06:39
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,40,12.5,Mar/14/2005 01:06:39
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,12.8,Mar/14/2005 03:32:57
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,5,12.0,Mar/14/2005 04:16:05
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,5,12.5,Mar/14/2005 08:51:46
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,12.8,Mar/14/2005 08:51:46
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,12.9,Mar/14/2005 08:51:46
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,13.0,Mar/14/2005 08:51:46
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,11.1,Mar/14/2005 17:28:35
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.1,Mar/14/2005 17:59:21
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.1,Mar/14/2005 18:13:23
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,13.0,Mar/15/2005 15:15:44
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,12.9,Mar/15/2005 20:07:01
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,13.0,Mar/15/2005 20:07:29
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,9,13.2,Mar/15/2005 20:09:48
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,13.2,Mar/15/2005 20:09:48
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,15,11.3,Mar/15/2005 21:46:20
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.4,Mar/16/2005 15:30:10
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,6,11.3,Mar/16/2005 16:06:01
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,11.4,Mar/16/2005 16:06:01
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.3,Mar/16/2005 21:36:27
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,11.3,Mar/16/2005 23:09:55
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,10.5,Mar/17/2005 14:02:47
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,5,10.5,Mar/18/2005 01:21:37
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,25,10.5,Mar/18/2005 15:30:07
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,32,10.5,Mar/18/2005 15:30:07
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.9,Mar/18/2005 16:24:50
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,8,10.0,Mar/18/2005 18:48:56
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,10.0,Mar/18/2005 18:48:56
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,15,9.8,Mar/21/2005 17:04:20
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,5,9.7,Mar/21/2005 17:04:20
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,9.7,Mar/21/2005 17:04:20
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,5,9.7,Mar/21/2005 17:04:20
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,9.6,Mar/21/2005 22:42:58
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,9.6,Mar/23/2005 13:17:36
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,15,9.1,Mar/23/2005 13:17:36
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,9.2,Mar/23/2005 13:17:36
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,6,9.5,Mar/23/2005 13:17:36
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,9.0,Mar/23/2005 17:48:01
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,8.7,Mar/23/2005 20:02:08
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,5,8.6,Mar/23/2005 20:02:17
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,33,6.7,Mar/24/2005 20:46:28
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,20,5.0,Mar/24/2005 20:47:02
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,9,5.2,Mar/24/2005 20:47:02
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,38,5.0,Mar/24/2005 20:47:02
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,29,5.0,Mar/25/2005 01:29:20
