market id,market symbol,market name,trade quantity,trade price,date/time [utc]
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,10,39.0,Jan/04/2012 02:37:17
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,40.0,Jan/04/2012 06:19:25
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,9,40.0,Jan/04/2012 06:19:25
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,2,34.5,Jan/04/2012 14:23:05
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,2,34.5,Jan/04/2012 14:26:13
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,8,34.5,Jan/04/2012 14:26:13
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,33.1,Jan/04/2012 14:26:28
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,9,33.0,Jan/04/2012 14:26:28
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,33.0,Jan/04/2012 14:27:42
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,10,30.0,Jan/04/2012 14:28:07
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,2,30.0,Jan/04/2012 14:28:07
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,10,33.0,Jan/04/2012 14:31:43
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,2,34.0,Jan/04/2012 17:43:12
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,34.0,Jan/04/2012 19:00:13
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,9,34.0,Jan/04/2012 19:00:13
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,5,30.0,Jan/04/2012 20:08:18
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,2,30.0,Jan/04/2012 23:19:14
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,6,30.0,Jan/05/2012 17:09:24
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,9,30.0,Jan/05/2012 17:17:23
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,30.0,Jan/05/2012 17:17:23
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,5,27.0,Jan/05/2012 23:58:30
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,5,28.9,Jan/06/2012 15:59:10
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,7,29.0,Jan/06/2012 15:59:10
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,27.5,Jan/06/2012 21:28:23
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,9,27.5,Jan/07/2012 01:23:40
