market id,market symbol,market name,trade quantity,trade price,date/time [utc]
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,15,62.0,Aug/24/2004 18:27:10
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,63.5,Aug/26/2004 16:42:23
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,15,66.9,Aug/30/2004 18:16:56
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,65.9,Aug/30/2004 18:16:56
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,66.4,Aug/31/2004 17:05:35
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,66.9,Aug/31/2004 17:05:35
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,66.5,Aug/31/2004 17:05:35
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,20,65.9,Sep/01/2004 16:35:16
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,62.8,Sep/02/2004 12:00:29
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,25,62.1,Sep/02/2004 12:00:29
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,64.0,Sep/03/2004 18:08:43
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,90,64.0,Sep/04/2004 05:42:01
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,45,63.0,Sep/05/2004 21:14:47
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,63.1,Sep/05/2004 21:14:47
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,64.0,Sep/07/2004 14:37:38
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,89,66.0,Sep/07/2004 14:38:16
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,66.0,Sep/07/2004 19:01:44
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,6,67.9,Sep/08/2004 22:54:31
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,20,68.0,Sep/08/2004 22:56:10
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,69.8,Sep/10/2004 16:59:36
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,3,70.0,Sep/10/2004 19:30:00
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,65.1,Sep/12/2004 00:26:02
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,65.0,Sep/12/2004 02:24:17
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,66.0,Sep/13/2004 15:58:31
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,69.0,Sep/15/2004 05:24:00
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,65.0,Sep/15/2004 12:33:33
